client_id,calls_6_month,logons_6_month,Variation
5115750,1.0,4.0,Control
7885704,0.0,3.0,Test
2876901,0.0,3.0,Test
2365190,3.0,6.0,Test
4516383,6.0,9.0,Control
730546,3.0,6.0,Test
1860982,0.0,3.0,Test
1945276,1.0,4.0,Test
1525212,6.0,9.0,Test
7139038,3.0,6.0,Test
3678422,6.0,9.0,Control
121354,5.0,8.0,Test
7597197,2.0,5.0,Test
8806527,5.0,8.0,Test
4561742,3.0,6.0,Control
8011247,6.0,9.0,Control
6689398,3.0,6.0,Test
5416822,1.0,4.0,Test
3093790,3.0,6.0,Test
9625688,2.0,5.0,Control
7280817,6.0,9.0,Test
6055529,2.0,5.0,Test
6679780,3.0,6.0,Test
2668008,3.0,6.0,Control
9247669,6.0,9.0,Test
7704754,5.0,8.0,Control
3455403,4.0,7.0,Test
3930919,0.0,3.0,Test
2615801,5.0,8.0,Test
4110312,4.0,7.0,Test
7794321,3.0,6.0,Test
1165994,2.0,5.0,Control
5650730,5.0,8.0,Test
7695537,1.0,4.0,Control
3545210,2.0,5.0,Test
4149206,1.0,4.0,Control
3431014,3.0,6.0,Test
8972482,6.0,9.0,Control
151444,5.0,8.0,Control
3778929,5.0,8.0,Test
9341975,6.0,9.0,Test
9070908,0.0,3.0,Control
3070720,2.0,5.0,Control
1840230,6.0,9.0,Control
4761400,2.0,5.0,Test
312094,3.0,6.0,Control
9435892,6.0,9.0,Test
3270955,3.0,6.0,Control
6840204,3.0,6.0,Test
8971654,3.0,6.0,Control
7288041,6.0,9.0,Control
3143881,6.0,9.0,Control
340192,6.0,9.0,Test
7845532,4.0,7.0,Control
4447192,3.0,6.0,Control
5119615,1.0,4.0,Test
976546,5.0,8.0,Control
4644384,3.0,6.0,Control
4028430,6.0,9.0,Control
2519481,5.0,8.0,Test
4412954,6.0,9.0,Test
9635691,6.0,9.0,Control
3362778,6.0,9.0,Test
5687972,0.0,3.0,Test
8676893,1.0,5.0,Test
4399072,3.0,6.0,Test
7705023,0.0,3.0,Control
4260236,0.0,4.0,Control
8368220,1.0,4.0,Test
6929446,0.0,3.0,Test
1524426,2.0,5.0,Control
1105924,5.0,8.0,Test
6770720,4.0,8.0,Control
5572217,2.0,5.0,Test
3604010,1.0,4.0,Test
8506583,6.0,9.0,Test
4853148,2.0,5.0,Test
425532,6.0,9.0,Control
7307378,0.0,3.0,Control
929350,5.0,8.0,Control
1435050,1.0,4.0,Control
929038,6.0,9.0,Test
5205837,5.0,8.0,Control
5754354,0.0,3.0,Test
4231609,2.0,5.0,Control
493194,2.0,5.0,Control
3706067,3.0,6.0,Test
5474772,4.0,7.0,Test
3937930,3.0,6.0,Test
4088467,0.0,3.0,Test
3767937,3.0,6.0,Test
278839,1.0,4.0,Test
9989642,5.0,8.0,Control
8789491,2.0,5.0,Test
692622,3.0,6.0,Control
8253877,6.0,9.0,Test
1168373,5.0,8.0,Control
5981232,3.0,6.0,Test
461846,4.0,7.0,Control
9821262,3.0,6.0,Test
416346,2.0,5.0,Test
7185880,6.0,9.0,Test
3460496,1.0,4.0,Control
39968,3.0,6.0,Control
9262445,1.0,4.0,Test
171583,6.0,9.0,Test
8730282,2.0,5.0,Control
7412471,6.0,9.0,Control
86877,1.0,4.0,Test
7669500,1.0,4.0,Test
6488984,0.0,3.0,Test
327151,1.0,4.0,Control
1413769,1.0,4.0,Test
3246979,6.0,9.0,Control
7056174,6.0,9.0,Test
7205884,0.0,3.0,Control
6201791,5.0,8.0,Test
3527743,2.0,5.0,Test
7018468,2.0,5.0,Control
1949872,6.0,9.0,Test
1056722,0.0,3.0,Control
1887639,3.0,6.0,Control
7153152,6.0,9.0,Control
1897278,4.0,7.0,Control
820519,3.0,6.0,Test
4653489,1.0,4.0,Test
3660141,6.0,9.0,Test
6815257,1.0,4.0,Control
9767681,6.0,9.0,Control
4474907,0.0,3.0,Test
6717435,2.0,5.0,Control
6958124,2.0,6.0,Control
5869570,1.0,4.0,Control
979208,0.0,3.0,Test
681824,1.0,4.0,Test
9006366,6.0,9.0,Test
8274863,6.0,9.0,Control
4055202,6.0,9.0,Control
9358802,6.0,9.0,Test
5749370,6.0,9.0,Control
8333682,0.0,3.0,Control
203223,6.0,9.0,Test
9153853,6.0,9.0,Test
9546409,6.0,9.0,Control
3544760,0.0,3.0,Control
9308901,2.0,5.0,Test
72395,4.0,7.0,Test
2346575,4.0,7.0,Test
7995744,3.0,6.0,Test
5078188,5.0,8.0,Test
6250726,0.0,3.0,Control
7434562,2.0,6.0,Test
4877364,0.0,3.0,Test
3736142,0.0,3.0,Test
9863604,3.0,6.0,Control
8284433,6.0,9.0,Test
7183351,2.0,5.0,Control
3959099,5.0,8.0,Test
4362459,6.0,9.0,Test
3083365,5.0,8.0,Test
556698,2.0,5.0,Test
4333518,6.0,9.0,Control
6540065,3.0,6.0,Control
1646150,6.0,9.0,Test
6550550,3.0,6.0,Control
4319069,2.0,5.0,Control
5931603,2.0,5.0,Control
2938423,6.0,9.0,Control
2215051,6.0,9.0,Control
2952627,2.0,5.0,Test
2790667,1.0,4.0,Test
9027736,4.0,7.0,Control
7240133,3.0,6.0,Test
6196555,6.0,9.0,Test
6012640,2.0,5.0,Control
5966661,1.0,4.0,Test
1820934,0.0,3.0,Control
7190256,6.0,9.0,Test
9048757,0.0,3.0,Control
5937897,0.0,3.0,Control
560810,2.0,5.0,Test
704762,6.0,9.0,Test
1350724,0.0,3.0,Control
9234234,6.0,9.0,Control
6765972,5.0,8.0,Test
8037116,0.0,3.0,Control
2754680,2.0,5.0,Control
8984143,2.0,5.0,Control
9797884,6.0,9.0,Test
7680980,6.0,9.0,Test
4928575,0.0,3.0,Test
2406021,4.0,7.0,Control
1908158,2.0,5.0,Control
881563,5.0,8.0,Test
2653016,1.0,4.0,Control
548340,2.0,5.0,Control
2609914,0.0,3.0,Test
3055755,6.0,9.0,Control
8798149,0.0,3.0,Test
4278502,2.0,5.0,Test
5004793,1.0,6.0,Test
1040359,2.0,5.0,Control
1334827,0.0,3.0,Control
8945610,3.0,6.0,Test
9371037,2.0,6.0,Test
2509909,6.0,9.0,Control
2600705,6.0,9.0,Control
3442959,6.0,9.0,Control
9207047,0.0,3.0,Test
3991847,2.0,5.0,Control
2959476,6.0,9.0,Test
973686,1.0,4.0,Test
7988248,6.0,9.0,Test
3158341,6.0,9.0,Test
9373092,5.0,8.0,Control
7561241,3.0,6.0,Test
3590454,6.0,9.0,Test
4374343,2.0,5.0,Test
1025015,5.0,8.0,Control
6524861,0.0,3.0,Test
3668675,2.0,5.0,Test
8257047,2.0,5.0,Test
1753961,2.0,5.0,Test
9432051,3.0,6.0,Test
9591707,3.0,6.0,Control
5522802,4.0,7.0,Control
5319506,3.0,6.0,Test
6399171,5.0,8.0,Control
7569257,2.0,5.0,Test
547839,6.0,9.0,Control
5781524,2.0,5.0,Control
6286537,1.0,4.0,Test
2529465,6.0,9.0,Test
4937056,0.0,3.0,Control
3132961,6.0,9.0,Control
6248651,6.0,9.0,Control
7187827,3.0,6.0,Test
9516559,5.0,8.0,Control
2166490,4.0,7.0,Test
9876315,3.0,6.0,Test
9795687,3.0,6.0,Control
3573589,3.0,6.0,Control
6082639,2.0,5.0,Control
8163796,3.0,6.0,Test
3191374,6.0,9.0,Test
3334174,4.0,7.0,Test
2057447,0.0,3.0,Control
3778920,4.0,7.0,Test
4834461,3.0,6.0,Control
2365886,4.0,7.0,Test
4848480,6.0,9.0,Test
7656967,6.0,9.0,Control
6559072,3.0,6.0,Control
2960870,2.0,5.0,Control
399690,4.0,7.0,Control
3319565,6.0,9.0,Control
470365,1.0,4.0,Test
5769715,6.0,9.0,Control
8336549,2.0,5.0,Control
7313442,6.0,9.0,Control
327337,6.0,9.0,Control
4296369,1.0,4.0,Test
1830058,5.0,8.0,Test
3337300,2.0,5.0,Test
272484,6.0,9.0,Test
6666419,5.0,8.0,Test
8830618,5.0,8.0,Test
8306917,6.0,9.0,Control
8068242,4.0,7.0,Test
2697914,3.0,6.0,Control
8730685,0.0,3.0,Control
5894819,6.0,9.0,Control
3539231,1.0,4.0,Control
9484909,0.0,3.0,Control
695585,2.0,5.0,Test
2485287,4.0,7.0,Test
736752,1.0,4.0,Control
1597883,5.0,8.0,Test
675111,3.0,6.0,Test
5116128,3.0,6.0,Test
3194104,6.0,9.0,Test
7151522,6.0,9.0,Test
3319635,6.0,9.0,Test
3197890,6.0,9.0,Test
28857,3.0,6.0,Control
6334676,5.0,8.0,Control
7781717,1.0,4.0,Test
1465714,0.0,3.0,Control
6020962,3.0,6.0,Control
2472976,5.0,8.0,Control
7020609,1.0,4.0,Test
2956739,2.0,5.0,Control
5517122,6.0,9.0,Test
1241733,0.0,3.0,Test
4458772,1.0,4.0,Test
242235,5.0,8.0,Test
8544599,1.0,4.0,Control
793692,4.0,7.0,Test
595241,2.0,5.0,Control
9590571,0.0,4.0,Test
6206582,2.0,5.0,Control
5954855,2.0,5.0,Control
5076263,3.0,6.0,Test
9957845,4.0,7.0,Control
509544,1.0,4.0,Control
8969191,2.0,5.0,Test
1288843,1.0,4.0,Control
4319222,0.0,3.0,Control
9092174,4.0,7.0,Test
3086399,6.0,9.0,Control
730801,3.0,6.0,Test
5552968,4.0,7.0,Test
4366496,6.0,9.0,Test
6615925,2.0,5.0,Control
9493249,2.0,5.0,Test
3290004,1.0,4.0,Test
4866771,6.0,9.0,Test
9517536,6.0,9.0,Control
5293569,1.0,4.0,Test
9754728,4.0,7.0,Control
3777909,0.0,3.0,Control
2515665,2.0,5.0,Test
198935,3.0,6.0,Test
2449759,1.0,4.0,Test
6641855,4.0,7.0,Control
3874169,3.0,6.0,Test
392459,6.0,9.0,Test
3806151,1.0,4.0,Control
7414306,1.0,4.0,Control
9295772,4.0,7.0,Test
3887490,2.0,5.0,Control
9138140,1.0,4.0,Test
1346,3.0,6.0,Test
1814940,2.0,5.0,Control
9075393,6.0,9.0,Control
16095,1.0,4.0,Control
533553,2.0,5.0,Test
7452449,4.0,7.0,Control
5142178,5.0,8.0,Control
9081837,5.0,8.0,Test
3022895,2.0,5.0,Test
6768127,4.0,7.0,Test
7244004,1.0,4.0,Test
4405688,0.0,3.0,Test
2658149,3.0,6.0,Test
6373368,1.0,4.0,Control
1007748,6.0,9.0,Control
5092651,6.0,9.0,Test
9449889,6.0,9.0,Control
8088920,2.0,5.0,Test
4153564,6.0,9.0,Test
1805954,1.0,4.0,Test
1990964,2.0,5.0,Control
811242,5.0,8.0,Control
6380474,1.0,4.0,Control
5690823,2.0,5.0,Test
9105369,2.0,5.0,Control
4494336,1.0,4.0,Control
7198363,1.0,4.0,Test
5644663,0.0,3.0,Test
1695407,0.0,3.0,Control
2948165,2.0,5.0,Test
9714140,0.0,3.0,Test
2826516,2.0,5.0,Test
6877738,3.0,6.0,Test
9040967,3.0,6.0,Test
3367073,2.0,5.0,Test
943015,5.0,8.0,Control
1020634,4.0,7.0,Control
7718817,6.0,9.0,Test
1829130,2.0,5.0,Control
9336495,6.0,9.0,Control
8722759,2.0,5.0,Test
4952288,2.0,5.0,Test
7953367,6.0,9.0,Test
5870441,6.0,9.0,Control
3233554,2.0,5.0,Test
4787368,0.0,3.0,Control
6930182,6.0,9.0,Test
4738519,1.0,4.0,Test
6604463,1.0,4.0,Test
6050973,1.0,4.0,Control
5579672,2.0,5.0,Test
1290934,2.0,6.0,Control
7024366,1.0,4.0,Test
663941,6.0,9.0,Test
1196376,2.0,6.0,Test
9229226,0.0,4.0,Test
2985233,6.0,9.0,Test
2186143,4.0,7.0,Test
6567268,0.0,3.0,Test
8732389,6.0,9.0,Control
7038187,5.0,8.0,Control
8047484,6.0,9.0,Control
5101399,4.0,7.0,Control
8381127,3.0,6.0,Control
7396309,4.0,7.0,Control
1792552,6.0,9.0,Test
848570,4.0,7.0,Control
3452850,0.0,3.0,Test
4786414,6.0,9.0,Test
9598074,6.0,9.0,Test
2968201,6.0,9.0,Test
8169732,1.0,4.0,Test
5156720,1.0,4.0,Control
4333852,2.0,5.0,Test
83683,6.0,9.0,Control
7236024,0.0,3.0,Test
3953921,6.0,9.0,Test
3899785,0.0,3.0,Control
8060496,1.0,4.0,Test
8682039,6.0,9.0,Test
5798572,5.0,8.0,Test
4656898,6.0,9.0,Test
2865677,1.0,4.0,Control
8832236,4.0,7.0,Test
2691632,3.0,6.0,Test
6842137,6.0,9.0,Control
3041776,2.0,5.0,Control
3167061,6.0,9.0,Control
6514104,2.0,5.0,Test
2839247,1.0,4.0,Control
1903850,2.0,5.0,Test
3992853,6.0,9.0,Test
187901,3.0,6.0,Control
6331923,1.0,4.0,Test
2941394,1.0,5.0,Test
2663775,1.0,4.0,Control
5337525,2.0,5.0,Control
967593,4.0,7.0,Test
1667795,5.0,8.0,Control
6991948,0.0,3.0,Test
1391630,4.0,7.0,Control
5085938,6.0,9.0,Control
9844262,1.0,4.0,Test
2013867,6.0,9.0,Control
8538985,6.0,9.0,Test
8444793,6.0,9.0,Test
2833480,3.0,6.0,Control
5829248,3.0,6.0,Control
7891259,6.0,9.0,Test
6603420,2.0,5.0,Test
8847388,1.0,4.0,Test
945109,2.0,5.0,Test
930596,2.0,5.0,Test
7158443,5.0,8.0,Control
7521207,2.0,6.0,Test
1098398,6.0,9.0,Control
6885626,4.0,7.0,Test
4409593,4.0,7.0,Test
7213148,1.0,4.0,Test
6772022,6.0,9.0,Test
6004537,1.0,4.0,Test
5357266,1.0,5.0,Test
3749858,1.0,4.0,Control
1152607,1.0,4.0,Test
2029226,6.0,9.0,Test
7570180,0.0,3.0,Test
7972854,5.0,8.0,Test
5559456,0.0,3.0,Test
3329950,0.0,3.0,Test
1972780,4.0,7.0,Test
2050426,5.0,8.0,Control
2475990,3.0,6.0,Test
6511554,6.0,9.0,Test
5961178,6.0,9.0,Control
4238252,1.0,4.0,Control
3999026,4.0,7.0,Test
8074391,4.0,7.0,Control
1505011,0.0,3.0,Control
8363051,6.0,9.0,Test
3966756,6.0,9.0,Test
7627270,0.0,3.0,Test
2111761,0.0,3.0,Test
6080815,6.0,9.0,Test
2211630,6.0,9.0,Test
6005237,6.0,9.0,Test
8404715,5.0,8.0,Test
1672032,4.0,7.0,Control
8803272,0.0,3.0,Test
3603649,5.0,8.0,Control
8004671,3.0,6.0,Control
3695599,2.0,5.0,Test
7861570,5.0,8.0,Test
643544,2.0,5.0,Test
8128275,0.0,3.0,Test
7542559,6.0,9.0,Control
3145774,0.0,3.0,Test
2608155,1.0,4.0,Test
9224876,0.0,3.0,Control
6746595,5.0,8.0,Test
7176632,0.0,3.0,Test
9409347,6.0,9.0,Test
9963117,2.0,5.0,Test
2769229,3.0,6.0,Test
4508825,0.0,3.0,Control
6865229,6.0,9.0,Control
5447175,3.0,6.0,Test
918538,5.0,8.0,Control
4244298,6.0,9.0,Test
1002041,1.0,4.0,Test
8057539,3.0,6.0,Control
9436140,1.0,4.0,Test
3240177,6.0,9.0,Test
3388462,5.0,8.0,Test
5334594,4.0,7.0,Test
2765161,2.0,5.0,Control
1473236,6.0,9.0,Test
8058142,2.0,5.0,Control
5751427,5.0,8.0,Control
2455070,2.0,5.0,Test
1088201,1.0,4.0,Test
5283980,0.0,4.0,Control
1687262,6.0,9.0,Control
3010146,0.0,3.0,Control
9121026,0.0,3.0,Control
7447069,1.0,4.0,Control
3782508,5.0,8.0,Control
9068680,6.0,9.0,Test
5518659,0.0,3.0,Test
9861727,4.0,7.0,Test
1396964,2.0,5.0,Test
7245855,1.0,4.0,Control
8248476,2.0,5.0,Control
2258357,6.0,9.0,Control
1111086,2.0,5.0,Control
5572873,5.0,8.0,Test
6299914,3.0,6.0,Control
4690774,1.0,4.0,Test
3990599,6.0,9.0,Test
4919508,6.0,9.0,Control
3058849,4.0,7.0,Control
6941992,6.0,9.0,Control
5336299,3.0,6.0,Control
7082310,5.0,8.0,Test
8950411,6.0,9.0,Test
1879312,5.0,8.0,Control
3959519,3.0,6.0,Control
8610616,2.0,5.0,Control
6102903,2.0,5.0,Test
6669765,0.0,3.0,Control
1180546,6.0,9.0,Control
1721941,6.0,9.0,Test
700784,3.0,6.0,Control
9552319,6.0,9.0,Control
9255104,2.0,5.0,Control
3149079,0.0,3.0,Control
5153501,1.0,4.0,Test
2122736,1.0,4.0,Control
1275733,2.0,5.0,Test
6711443,0.0,3.0,Test
8422642,5.0,8.0,Control
4863224,1.0,4.0,Test
546337,2.0,5.0,Control
3537735,6.0,9.0,Control
9218358,2.0,5.0,Test
8343009,6.0,9.0,Control
7191234,6.0,9.0,Control
8794039,5.0,8.0,Control
9795049,6.0,9.0,Test
8170143,3.0,6.0,Control
4012328,6.0,9.0,Test
5623848,4.0,7.0,Test
8680964,6.0,9.0,Control
5255030,6.0,9.0,Test
4856097,1.0,4.0,Test
4066207,2.0,5.0,Test
4978709,1.0,4.0,Control
5258581,3.0,6.0,Control
144678,6.0,9.0,Control
8215989,3.0,6.0,Control
1363737,2.0,5.0,Test
3151112,4.0,7.0,Test
8588068,2.0,5.0,Control
2226478,2.0,5.0,Control
5081402,1.0,4.0,Test
3172746,5.0,8.0,Test
267391,5.0,8.0,Test
3450766,6.0,9.0,Control
250645,6.0,9.0,Test
1866820,6.0,9.0,Control
6904931,1.0,4.0,Test
5041971,4.0,7.0,Test
5761113,1.0,4.0,Test
6103153,1.0,4.0,Control
7022761,6.0,9.0,Test
4580091,6.0,9.0,Control
4529371,6.0,9.0,Control
6173581,5.0,8.0,Test
191300,3.0,6.0,Test
6195253,1.0,4.0,Control
8505452,1.0,4.0,Control
6478662,6.0,9.0,Test
8962369,6.0,9.0,Control
5910608,2.0,5.0,Control
1858800,0.0,3.0,Test
2549185,5.0,8.0,Test
9516166,0.0,3.0,Test
6280963,5.0,8.0,Control
3875133,3.0,6.0,Test
2420905,6.0,9.0,Test
7651432,0.0,3.0,Test
6652360,4.0,7.0,Test
9182143,3.0,6.0,Control
8229804,1.0,4.0,Test
5283242,6.0,9.0,Control
7631819,1.0,4.0,Test
2601202,1.0,4.0,Control
8486666,5.0,8.0,Control
5141416,3.0,6.0,Test
3484978,2.0,5.0,Control
8928774,5.0,8.0,Test
8017188,3.0,6.0,Test
2096040,1.0,4.0,Test
4744361,5.0,8.0,Control
1671477,1.0,4.0,Control
595657,2.0,6.0,Control
8048935,6.0,9.0,Test
7146195,5.0,8.0,Test
4647478,0.0,4.0,Control
5464721,0.0,3.0,Test
3882086,0.0,3.0,Control
4385232,2.0,6.0,Control
5490056,5.0,8.0,Test
7188669,4.0,7.0,Test
9656424,3.0,6.0,Test
329574,6.0,9.0,Test
2636198,3.0,6.0,Control
2495355,1.0,4.0,Test
7726175,1.0,4.0,Control
737881,4.0,7.0,Test
1237163,1.0,4.0,Test
3369137,5.0,8.0,Control
9395390,3.0,6.0,Control
432789,6.0,9.0,Test
5249795,3.0,6.0,Control
9408869,4.0,7.0,Control
7872084,6.0,9.0,Control
1024268,6.0,9.0,Test
8644435,1.0,4.0,Test
4446759,3.0,6.0,Test
6571403,6.0,9.0,Control
6208259,5.0,8.0,Control
8094167,3.0,6.0,Control
2271164,4.0,7.0,Test
9243700,3.0,6.0,Control
2354204,2.0,5.0,Test
6449098,3.0,6.0,Control
409787,0.0,3.0,Test
7871271,1.0,4.0,Control
3737834,2.0,5.0,Test
3394004,6.0,9.0,Test
7096317,0.0,3.0,Control
7494176,3.0,6.0,Control
9268374,6.0,9.0,Test
3127831,1.0,5.0,Test
7045882,5.0,8.0,Control
7044362,0.0,3.0,Test
6672315,3.0,6.0,Test
2240256,4.0,7.0,Test
3694585,4.0,7.0,Control
3221598,5.0,8.0,Control
7149854,6.0,9.0,Control
848688,4.0,7.0,Test
1374292,6.0,9.0,Test
7394783,6.0,9.0,Control
8752868,1.0,4.0,Control
3479816,5.0,8.0,Control
7203736,0.0,3.0,Test
1108090,4.0,7.0,Test
1260653,0.0,3.0,Control
1112343,6.0,9.0,Test
73453,6.0,9.0,Control
6095280,3.0,7.0,Test
598705,1.0,4.0,Control
7337453,6.0,9.0,Test
2680334,2.0,5.0,Test
6697221,3.0,6.0,Control
3813623,3.0,6.0,Control
1978167,1.0,4.0,Control
4765026,6.0,9.0,Test
3305322,3.0,6.0,Control
6112197,6.0,9.0,Test
9117250,1.0,5.0,Control
5314587,2.0,5.0,Test
3198093,4.0,7.0,Test
1357384,2.0,5.0,Control
4472571,6.0,9.0,Test
6721172,2.0,5.0,Test
769765,2.0,5.0,Control
4630971,3.0,6.0,Test
8537217,0.0,4.0,Control
5036404,0.0,3.0,Test
37423,6.0,9.0,Test
4251068,2.0,5.0,Control
7864632,6.0,9.0,Test
574728,6.0,9.0,Test
782399,0.0,3.0,Control
699117,2.0,6.0,Control
4890753,3.0,6.0,Control
5340999,4.0,7.0,Test
4807789,4.0,7.0,Control
9068866,2.0,5.0,Control
4246602,6.0,9.0,Test
8071131,0.0,3.0,Control
4089005,6.0,9.0,Control
9410507,2.0,5.0,Control
6885624,4.0,7.0,Control
9354633,0.0,3.0,Test
9763536,1.0,4.0,Test
2621982,4.0,7.0,Control
4743648,1.0,4.0,Control
15050,6.0,9.0,Test
4267612,3.0,6.0,Control
9397973,0.0,3.0,Test
9815599,6.0,9.0,Control
7467039,0.0,3.0,Control
9359463,1.0,4.0,Control
1954630,4.0,7.0,Test
1200050,6.0,9.0,Test
473920,6.0,9.0,Test
9547634,0.0,3.0,Control
3781768,2.0,5.0,Test
1446469,6.0,9.0,Control
4542413,3.0,6.0,Test
227805,5.0,8.0,Test
2560691,2.0,5.0,Test
4952273,4.0,7.0,Control
7697945,5.0,8.0,Test
7154717,6.0,9.0,Control
822123,6.0,9.0,Test
8062119,1.0,4.0,Control
4799453,6.0,9.0,Control
3647252,0.0,3.0,Control
1433566,2.0,5.0,Control
3918261,6.0,9.0,Test
5044560,4.0,7.0,Test
2341792,2.0,5.0,Control
3597484,3.0,6.0,Control
6093544,0.0,3.0,Control
4056801,5.0,8.0,Test
431627,6.0,9.0,Test
4417192,3.0,6.0,Test
5120012,6.0,9.0,Control
3652385,6.0,9.0,Control
3333348,6.0,9.0,Test
6909039,0.0,3.0,Control
4977984,1.0,4.0,Test
2261819,1.0,4.0,Test
1198944,5.0,8.0,Test
2023072,2.0,6.0,Control
1678234,4.0,7.0,Control
8257803,3.0,6.0,Control
5031199,4.0,7.0,Control
3790249,3.0,6.0,Control
4379730,1.0,4.0,Test
6358660,6.0,9.0,Control
7253866,1.0,4.0,Control
927516,2.0,5.0,Test
8063233,4.0,7.0,Test
2550200,2.0,5.0,Control
297472,1.0,4.0,Control
8646291,1.0,4.0,Test
8259583,0.0,3.0,Test
9750016,0.0,3.0,Control
1677722,2.0,5.0,Test
960724,0.0,3.0,Test
4060334,3.0,6.0,Control
8568326,4.0,7.0,Test
6427526,3.0,6.0,Control
2122912,1.0,4.0,Control
2923342,0.0,3.0,Control
7534819,3.0,6.0,Test
1256690,6.0,9.0,Test
2971820,4.0,7.0,Control
4431185,4.0,7.0,Control
2909102,4.0,7.0,Test
3468813,3.0,6.0,Control
5211432,4.0,7.0,Test
6953767,1.0,4.0,Control
8213521,4.0,7.0,Control
3425096,6.0,9.0,Test
8007865,5.0,8.0,Control
2735635,1.0,5.0,Test
4204839,5.0,8.0,Control
4315514,5.0,8.0,Test
1263455,2.0,5.0,Test
1194237,6.0,9.0,Test
8103106,6.0,9.0,Control
5711578,0.0,3.0,Control
5308409,6.0,9.0,Control
4885697,2.0,5.0,Control
1393168,1.0,4.0,Test
3816563,2.0,5.0,Test
4876132,2.0,5.0,Test
3154747,0.0,3.0,Control
4575326,0.0,3.0,Test
7065655,0.0,3.0,Test
2785387,6.0,9.0,Control
8479157,6.0,9.0,Control
9485851,4.0,7.0,Control
5955812,6.0,9.0,Test
2506177,1.0,4.0,Control
