client_id,seniority_per_years,age,gender,number_of_accounts,balance,Variation
8806527,10.0,28.0,U,2.0,55742.17999999999,Test
4561742,15.0,44.5,M,3.0,240993.69,Control
8011247,5.0,59.5,M,2.0,31921.91,Control
6689398,27.0,68.0,M,2.0,89224.4,Test
5416822,14.0,39.0,M,2.0,40549.95,Test
3093790,29.0,69.5,F,2.0,107604.36,Test
9625688,9.0,35.5,M,2.0,91643.57,Control
7280817,15.0,54.0,M,2.0,192518.99,Test
6055529,6.0,27.5,U,2.0,48601.07,Test
6679780,5.0,71.5,F,2.0,36978.84,Test
2668008,6.0,34.0,U,2.0,38654.73,Control
9247669,6.0,38.5,U,3.0,414323.08,Test
7704754,12.0,25.5,M,2.0,31514.34,Control
3455403,8.0,55.0,M,2.0,73520.62,Test
3930919,10.0,35.0,M,2.0,64113.1,Test
2615801,5.0,27.0,U,3.0,72480.08,Test
4110312,8.0,66.0,U,2.0,36933.26,Test
7794321,12.0,28.0,M,2.0,37879.82,Test
1165994,5.0,69.0,U,2.0,226833.77,Control
5650730,10.0,43.0,M,2.0,474954.32,Test
7695537,6.0,54.5,U,2.0,174976.65999999997,Control
3545210,28.0,83.5,F,2.0,47993.13,Test
4149206,27.0,56.0,F,2.0,27023.89,Control
3431014,13.0,43.0,M,2.0,163374.12,Test
8972482,16.0,62.0,M,3.0,396305.98,Control
151444,7.0,31.0,U,2.0,34814.84,Control
3778929,13.0,59.5,F,2.0,300637.25,Test
9341975,8.0,26.5,U,2.0,28038.0,Test
9070908,6.0,54.5,U,2.0,55787.69,Control
3070720,6.0,29.5,U,3.0,47151.82,Control
1840230,6.0,29.0,U,2.0,163702.91999999998,Control
4761400,15.0,56.0,F,2.0,71982.87,Test
312094,4.0,21.5,U,2.0,58108.74,Control
9435892,17.0,47.0,M,2.0,86797.79999999999,Test
3270955,6.0,74.5,U,2.0,37672.53,Control
6840204,7.0,58.0,U,2.0,31129.41,Test
8971654,15.0,61.5,F,2.0,71995.54000000001,Control
7288041,25.0,32.5,F,3.0,43742.87,Control
3143881,24.0,51.0,F,2.0,53080.91,Control
340192,24.0,73.5,F,2.0,321351.47,Test
7845532,23.0,71.0,F,2.0,187639.61,Control
4447192,22.0,59.0,M,2.0,40191.39,Control
5119615,20.0,48.0,F,2.0,243282.69,Test
976546,19.0,38.5,M,4.0,59503.19,Control
4644384,17.0,57.0,U,2.0,35975.52,Control
4028430,9.0,60.0,M,2.0,87207.53,Control
2519481,28.0,60.0,M,2.0,143769.09,Test
4412954,5.0,21.0,U,2.0,101928.87,Test
9635691,4.0,46.0,U,2.0,31486.81,Control
3362778,10.0,61.0,F,2.0,127314.89,Test
5687972,14.0,34.5,M,2.0,24919.16,Test
8676893,9.0,60.5,F,2.0,88968.26,Test
4399072,27.0,57.5,F,3.0,117836.94,Test
7705023,12.0,44.0,F,2.0,60526.87,Control
4260236,12.0,60.0,F,2.0,58615.38,Control
8368220,7.0,28.5,U,2.0,36539.12,Test
6929446,28.0,83.0,M,2.0,326957.19,Test
1524426,8.0,36.0,U,2.0,53131.28,Control
1105924,13.0,52.0,F,3.0,96007.87,Test
6770720,14.0,62.5,M,2.0,1907094.11,Control
5572217,8.0,47.5,F,2.0,30552.39,Test
3604010,5.0,52.5,U,2.0,32731.37,Test
8506583,6.0,27.5,F,2.0,51726.56,Test
4853148,9.0,61.5,F,2.0,190619.33,Test
425532,5.0,42.0,U,4.0,112715.89,Control
7307378,12.0,69.5,M,2.0,36397.41,Control
929350,9.0,72.5,M,3.0,190530.62,Control
1435050,15.0,52.5,F,2.0,1589727.12,Control
929038,8.0,60.5,U,3.0,125733.21,Test
5205837,9.0,56.5,M,2.0,114022.38,Control
5754354,15.0,38.5,F,2.0,34866.45,Test
4231609,6.0,45.0,U,2.0,39335.9,Control
493194,6.0,57.5,U,2.0,66942.64,Control
3706067,6.0,76.0,U,2.0,167990.39,Test
5474772,8.0,66.5,F,2.0,168966.38,Test
3937930,5.0,66.5,U,2.0,430081.07,Test
4088467,13.0,36.0,F,2.0,103756.74,Test
3767937,15.0,53.0,M,2.0,47734.69,Test
278839,11.0,62.0,F,2.0,33051.97,Test
9989642,6.0,63.0,U,2.0,202064.63,Control
8789491,5.0,22.0,U,2.0,40487.92999999999,Test
692622,4.0,25.0,U,2.0,31803.51,Control
8253877,16.0,36.5,M,2.0,120874.88,Test
1168373,27.0,61.0,M,3.0,57600.69,Control
5981232,24.0,44.0,F,2.0,26837.74,Test
461846,24.0,78.5,F,2.0,43246.11,Control
9821262,23.0,65.5,M,3.0,1141653.0499999998,Test
416346,23.0,59.5,F,2.0,216389.25,Test
7185880,21.0,48.0,M,2.0,96721.08,Test
3460496,20.0,62.0,F,2.0,31438.76,Control
39968,4.0,50.0,F,2.0,58599.55,Control
9262445,7.0,47.0,U,2.0,29672.82,Test
171583,15.0,44.0,F,2.0,125100.63,Test
8730282,27.0,50.0,F,3.0,464879.31,Control
7412471,12.0,27.0,F,4.0,144559.55,Control
86877,4.0,28.0,U,2.0,40308.74,Test
7669500,3.0,58.5,U,3.0,64159.92,Test
6488984,9.0,40.0,M,2.0,73552.72,Test
327151,14.0,74.0,M,5.0,214762.73,Control
1413769,13.0,55.5,F,3.0,48092.82,Test
3246979,6.0,57.0,F,2.0,264334.41,Control
7056174,8.0,60.5,F,2.0,433799.34,Test
7205884,15.0,25.0,F,2.0,34281.18,Control
6201791,27.0,66.5,M,2.0,51930.13,Test
3527743,6.0,21.5,U,2.0,27047.89,Test
7018468,9.0,27.5,M,4.0,106785.05,Control
1949872,13.0,37.5,M,3.0,132243.59999999998,Test
1056722,10.0,51.5,M,2.0,45437.91,Control
1887639,15.0,67.0,U,2.0,174510.75,Control
7153152,6.0,44.0,U,3.0,207071.7,Control
1897278,5.0,41.5,M,2.0,63939.61,Control
820519,5.0,60.5,M,2.0,384904.34,Test
4653489,6.0,46.0,U,2.0,31650.51,Test
3660141,4.0,23.0,U,2.0,37244.36,Test
6815257,46.0,72.5,M,2.0,92157.08,Control
9767681,6.0,47.0,U,2.0,50914.39,Control
4474907,6.0,32.5,U,2.0,31930.31,Test
6717435,6.0,45.0,U,3.0,99839.96,Control
6958124,10.0,59.0,M,3.0,148741.47,Control
5869570,11.0,47.0,M,2.0,25084.35,Control
979208,5.0,20.5,U,2.0,29760.54,Test
681824,9.0,33.5,F,2.0,34537.7,Test
9006366,5.0,25.5,M,2.0,46898.97,Test
8274863,6.0,27.0,U,2.0,31559.84,Control
4055202,10.0,29.5,M,2.0,118923.62,Control
9358802,14.0,33.0,F,2.0,109642.16,Test
5749370,4.0,22.5,U,2.0,50677.64,Control
8333682,8.0,34.0,F,2.0,36660.31,Control
203223,24.0,60.5,M,3.0,1113383.46,Test
9153853,22.0,42.0,M,2.0,97065.25,Test
9546409,21.0,27.0,M,3.0,117906.94,Control
3544760,21.0,55.0,M,2.0,122671.45,Control
9308901,20.0,42.5,F,2.0,41536.96,Test
72395,18.0,48.0,M,2.0,208866.05,Test
2346575,15.0,75.0,M,2.0,61693.2,Test
7995744,15.0,39.0,M,2.0,57533.84,Test
5078188,11.0,31.0,F,2.0,49445.67999999999,Test
6250726,5.0,71.5,U,2.0,40124.17,Control
7434562,10.0,74.0,F,2.0,25963.06,Test
4877364,12.0,76.0,M,4.0,2141137.39,Test
3736142,7.0,43.5,U,2.0,45584.19,Test
9863604,5.0,40.5,U,2.0,36436.59,Control
8284433,10.0,63.0,M,2.0,53551.9,Test
7183351,8.0,28.0,U,2.0,78197.01999999999,Control
3959099,11.0,32.5,M,2.0,48712.08,Test
4362459,21.0,65.5,F,2.0,35035.3,Test
3083365,7.0,72.5,U,2.0,1260146.5699999998,Test
556698,4.0,57.0,U,2.0,164270.90000000002,Test
4333518,10.0,32.0,M,2.0,39164.23,Control
6540065,7.0,63.0,U,2.0,52180.97,Control
1646150,5.0,66.5,M,2.0,361345.09,Test
6550550,5.0,58.0,F,2.0,32744.96,Control
4319069,14.0,24.0,M,3.0,55169.44,Control
5931603,5.0,31.5,U,2.0,66328.35,Control
2938423,6.0,36.5,U,2.0,25590.73,Control
2215051,12.0,66.0,F,3.0,122246.45,Control
2952627,5.0,46.0,M,2.0,34979.78,Test
2790667,4.0,22.5,U,2.0,44144.34,Test
9027736,10.0,79.0,F,2.0,217728.64,Control
7240133,7.0,65.5,M,3.0,62814.58,Test
6196555,4.0,69.5,U,3.0,310089.38,Test
6012640,29.0,59.5,F,2.0,89726.89,Control
5966661,5.0,29.5,U,2.0,39556.42,Test
1820934,5.0,40.5,U,2.0,40535.55,Control
7190256,8.0,31.0,F,2.0,53434.92999999999,Test
9048757,15.0,60.5,F,2.0,591058.3500000001,Control
5937897,17.0,63.5,M,2.0,482055.17,Control
560810,14.0,34.5,F,3.0,57175.22,Test
704762,6.0,27.5,U,3.0,83788.5,Test
1350724,4.0,42.0,U,2.0,38033.55,Control
9234234,8.0,26.0,M,2.0,65872.88,Control
6765972,7.0,56.0,U,2.0,24701.85,Test
8037116,4.0,23.0,U,2.0,30552.19,Control
2754680,7.0,41.0,U,2.0,247752.24,Control
8984143,14.0,40.5,M,2.0,26248.41,Control
9797884,5.0,61.5,U,3.0,77371.48999999999,Test
7680980,13.0,23.5,M,3.0,117685.13,Test
4928575,25.0,60.5,F,2.0,30975.55,Test
2406021,23.0,49.0,M,2.0,483324.86,Control
1908158,21.0,66.5,F,2.0,161959.26,Control
881563,21.0,49.5,M,2.0,477340.15,Test
2653016,21.0,53.0,F,2.0,273573.13,Control
548340,21.0,46.5,U,2.0,38001.58,Control
2609914,17.0,45.5,F,3.0,79648.2,Test
3055755,17.0,44.0,F,2.0,59154.02,Control
8798149,16.0,50.0,F,3.0,218582.15,Test
4278502,10.0,23.5,F,2.0,86769.69,Test
5004793,25.0,59.5,F,3.0,90540.4,Test
1040359,5.0,47.5,U,3.0,50844.64,Control
1334827,11.0,38.5,F,2.0,76572.53,Control
8945610,26.0,71.5,F,2.0,170208.0,Test
9371037,32.0,68.0,M,3.0,181523.87,Test
2509909,9.0,56.0,M,3.0,120915.34,Control
2600705,15.0,61.5,F,2.0,1278380.8099999998,Control
3442959,14.0,34.5,F,2.0,35656.28,Control
9207047,16.0,49.5,F,2.0,29978.94,Test
3991847,5.0,33.0,U,2.0,28189.91,Control
2959476,9.0,59.0,F,2.0,47887.98,Test
973686,10.0,28.0,M,3.0,44990.49,Test
7988248,15.0,51.0,M,2.0,42138.14,Test
3158341,27.0,71.0,M,3.0,1581691.79,Test
9373092,5.0,39.5,F,2.0,59201.04,Control
7561241,5.0,55.5,U,3.0,1475524.6,Test
3590454,20.0,68.5,F,2.0,156109.43,Test
4374343,4.0,53.0,F,2.0,180359.6,Test
1025015,16.0,46.0,M,2.0,163637.52000000002,Control
6524861,5.0,65.5,F,2.0,162005.72999999998,Test
3668675,6.0,48.5,F,2.0,48875.46,Test
8257047,24.0,24.5,M,2.0,34710.92,Test
1753961,4.0,49.5,U,2.0,48917.99,Test
9432051,7.0,39.0,U,2.0,99532.56,Test
9591707,11.0,49.0,M,2.0,34721.08,Control
5522802,4.0,39.5,U,3.0,66114.18,Control
5319506,5.0,33.0,U,2.0,44387.03999999999,Test
6399171,19.0,58.0,M,2.0,119445.0,Control
7569257,4.0,54.5,F,2.0,33294.92,Test
547839,11.0,44.5,F,2.0,75677.53,Control
5781524,5.0,42.5,U,3.0,55532.59,Control
6286537,7.0,27.0,U,2.0,31480.81,Test
2529465,9.0,35.5,M,2.0,60796.07,Test
4937056,14.0,19.0,M,4.0,65365.75,Control
3132961,9.0,58.5,F,2.0,23790.4,Control
6248651,17.0,45.5,M,2.0,24110.09,Control
7187827,15.0,45.5,F,2.0,156436.78999999998,Test
9516559,9.0,29.5,M,2.0,32127.71,Control
2166490,9.0,63.5,F,2.0,249320.51,Test
9876315,11.0,56.5,F,2.0,121203.96,Test
9795687,14.0,69.5,M,2.0,65376.95,Control
3573589,11.0,46.5,M,2.0,57971.45,Control
6082639,24.0,52.0,M,5.0,208786.33,Control
8163796,23.0,62.5,F,2.0,126817.43,Test
3191374,23.0,37.5,F,2.0,57619.25,Test
3334174,22.0,31.5,M,4.0,238363.85,Test
2057447,20.0,40.0,F,2.0,55884.24,Control
3778920,21.0,61.5,F,2.0,33825.009999999995,Test
4834461,23.0,55.5,M,2.0,522457.42,Control
2365886,21.0,75.5,M,3.0,234993.23,Test
4848480,18.0,27.5,M,2.0,34901.03,Test
7656967,18.0,60.0,F,3.0,458857.19,Control
6559072,16.0,54.0,F,2.0,54249.96,Control
2960870,11.0,66.5,F,2.0,190176.39,Control
399690,16.0,80.0,M,2.0,34994.41,Control
3319565,10.0,48.0,M,2.0,23985.65,Control
470365,20.0,44.0,M,2.0,35829.85,Test
5769715,20.0,75.0,M,2.0,75862.58,Control
8336549,12.0,32.0,F,2.0,115872.65,Control
7313442,14.0,23.0,M,3.0,72468.70999999999,Control
327337,15.0,73.0,M,2.0,699374.2300000001,Control
4296369,4.0,24.0,U,2.0,29708.73,Test
1830058,15.0,70.0,F,2.0,1823190.18,Test
3337300,11.0,57.0,F,2.0,23809.67,Test
272484,14.0,48.0,M,3.0,302145.66,Test
6666419,9.0,44.5,M,2.0,29272.36,Test
8830618,5.0,28.0,U,2.0,42213.17999999999,Test
8306917,11.0,60.0,F,4.0,358021.67,Control
8068242,15.0,47.0,U,2.0,123841.85,Test
2697914,15.0,36.0,U,2.0,77452.7,Control
8730685,19.0,71.5,M,2.0,236328.14,Control
5894819,8.0,67.5,U,2.0,88612.23,Control
3539231,6.0,26.5,U,2.0,60709.59,Control
9484909,7.0,20.5,U,2.0,51542.32,Control
695585,15.0,46.0,M,2.0,121101.26,Test
2485287,17.0,60.0,M,2.0,190218.43,Test
736752,12.0,34.0,M,2.0,74871.78,Control
1597883,5.0,25.0,U,2.0,48374.16,Test
675111,7.0,29.0,U,2.0,53545.22,Test
5116128,10.0,49.0,F,3.0,970272.0,Test
3194104,7.0,27.5,U,2.0,34921.18,Test
7151522,9.0,67.5,F,3.0,216668.43,Test
3319635,7.0,52.0,U,2.0,100239.82,Test
3197890,5.0,50.5,U,2.0,33357.63,Test
28857,14.0,52.0,M,2.0,104511.86,Control
6334676,3.0,35.5,U,3.0,175190.2,Control
7781717,10.0,26.0,F,2.0,77832.85,Test
1465714,11.0,63.5,F,2.0,867380.8300000001,Control
6020962,13.0,28.5,M,2.0,98550.05,Control
2472976,4.0,67.5,F,2.0,661718.3400000001,Control
7020609,28.0,60.5,F,3.0,333574.56,Test
2956739,4.0,53.0,U,2.0,28462.57,Control
5517122,14.0,57.5,M,2.0,132760.77000000002,Test
1241733,8.0,31.5,F,3.0,36977.48,Test
4458772,12.0,62.5,U,2.0,34751.19,Test
242235,23.0,44.0,M,2.0,205171.12,Test
8544599,23.0,56.0,F,2.0,36103.57,Control
793692,23.0,59.0,M,2.0,62786.71,Test
595241,22.0,49.0,F,2.0,27579.24,Control
9590571,21.0,72.0,M,2.0,265461.39,Test
6206582,21.0,43.0,F,2.0,129093.94,Control
5954855,20.0,35.5,M,4.0,264983.04,Control
5076263,20.0,39.0,M,2.0,116576.29,Test
9957845,24.0,61.0,F,2.0,110140.17,Control
509544,19.0,52.5,F,2.0,27084.14,Control
8969191,18.0,49.5,M,2.0,132946.55,Test
1288843,18.0,62.5,U,2.0,163709.74,Control
4319222,5.0,31.5,F,3.0,33047.84,Control
9092174,9.0,28.0,M,2.0,67734.59,Test
3086399,16.0,48.5,M,2.0,166456.55,Control
730801,12.0,51.5,M,2.0,47511.33,Test
5552968,6.0,46.5,U,2.0,24268.41,Test
4366496,11.0,26.5,M,3.0,315341.78,Test
6615925,11.0,32.0,M,2.0,38937.73,Control
9493249,21.0,73.0,F,2.0,89903.73,Test
3290004,12.0,30.5,F,2.0,81594.69,Test
4866771,6.0,87.0,U,2.0,41797.76,Test
9517536,5.0,27.5,U,2.0,56202.07,Control
5293569,7.0,46.0,U,2.0,29224.47,Test
9754728,7.0,40.0,U,2.0,128306.51,Control
3777909,4.0,54.5,U,3.0,48953.17999999999,Control
2515665,10.0,63.0,F,2.0,46489.4,Test
198935,4.0,65.5,U,2.0,61573.14,Test
2449759,9.0,61.5,F,2.0,117408.12,Test
6641855,8.0,33.0,U,2.0,81186.79000000001,Control
3874169,11.0,37.5,F,2.0,63217.28,Test
392459,26.0,57.0,U,3.0,172748.2,Test
3806151,9.0,43.0,M,2.0,157278.14,Control
7414306,6.0,66.5,U,2.0,65259.08,Control
9295772,5.0,51.5,M,2.0,26280.29,Test
3887490,5.0,39.5,U,2.0,59466.35,Control
9138140,6.0,32.0,U,2.0,45754.98,Test
1346,14.0,46.0,F,2.0,822512.91,Test
1814940,7.0,48.0,U,2.0,69194.14,Control
9075393,12.0,48.5,M,4.0,484570.93,Control
16095,6.0,30.0,U,2.0,81652.98,Control
533553,24.0,67.5,U,2.0,147539.34,Test
7452449,23.0,68.0,F,3.0,131965.16,Control
5142178,23.0,58.0,M,2.0,69415.56,Control
9081837,20.0,21.0,F,2.0,54398.53999999999,Test
3022895,28.0,76.5,M,2.0,104042.72,Test
6768127,7.0,31.5,U,2.0,32021.98,Test
7244004,15.0,52.5,F,2.0,755138.4700000001,Test
4405688,9.0,53.0,M,2.0,47707.67,Test
2658149,21.0,57.5,M,3.0,432275.28,Test
6373368,16.0,55.5,M,2.0,42066.73,Control
1007748,29.0,65.5,M,4.0,1423149.03,Control
5092651,9.0,32.0,M,3.0,80859.04000000001,Test
9449889,14.0,26.0,F,2.0,28841.06,Control
8088920,7.0,62.5,F,2.0,112148.91,Test
4153564,7.0,30.0,U,2.0,30792.02,Test
1805954,20.0,65.0,M,2.0,116484.7,Test
1990964,15.0,50.0,F,2.0,27152.18,Control
811242,27.0,68.0,F,2.0,79386.39,Control
6380474,14.0,46.0,M,2.0,159277.65000000002,Control
5690823,9.0,45.5,F,2.0,95056.95,Test
9105369,22.0,27.0,F,2.0,31407.18,Control
4494336,5.0,66.0,F,3.0,403398.69,Control
7198363,15.0,54.5,F,2.0,47997.07,Test
5644663,9.0,70.0,F,2.0,117064.95,Test
1695407,8.0,55.0,U,2.0,61656.99,Control
2948165,7.0,61.5,U,2.0,291652.19,Test
9714140,6.0,65.5,U,3.0,476097.95,Test
2826516,12.0,40.0,M,3.0,63922.21,Test
6877738,3.0,19.5,U,2.0,29156.86,Test
9040967,4.0,24.0,M,2.0,28705.23,Test
3367073,12.0,32.5,F,2.0,36534.7,Test
943015,5.0,56.0,U,2.0,45776.16,Control
1020634,4.0,40.5,U,2.0,26795.08,Control
7718817,4.0,29.0,U,2.0,30028.77,Test
1829130,7.0,53.0,F,2.0,24154.48,Control
9336495,5.0,29.0,U,2.0,56490.0,Control
8722759,18.0,46.0,M,2.0,46500.72,Test
4952288,5.0,42.5,U,2.0,49821.15,Test
7953367,5.0,66.5,U,2.0,160537.77999999997,Test
5870441,25.0,25.5,F,2.0,97090.46,Control
3233554,16.0,66.5,M,2.0,314901.35,Test
4787368,13.0,31.0,M,2.0,97061.72,Control
6930182,6.0,59.5,U,3.0,631622.26,Test
4738519,13.0,48.5,M,2.0,440046.52,Test
6604463,6.0,58.5,U,2.0,30971.3,Test
6050973,9.0,32.0,F,2.0,54681.51,Control
5579672,17.0,53.5,F,2.0,26031.52,Test
1290934,13.0,55.5,M,2.0,27826.43,Control
7024366,4.0,57.5,U,2.0,35832.59,Test
663941,24.0,47.0,F,2.0,168467.46999999997,Test
1196376,23.0,46.5,U,2.0,270343.52,Test
9229226,22.0,72.0,U,2.0,352199.83,Test
2985233,22.0,72.0,M,2.0,307725.49,Test
2186143,20.0,55.5,F,2.0,519393.29,Test
6567268,19.0,35.5,M,2.0,68955.82,Test
8732389,19.0,54.5,F,2.0,100531.17,Control
7038187,17.0,34.5,M,2.0,123618.14,Control
8047484,17.0,69.0,F,2.0,47198.83,Control
5101399,7.0,41.0,M,3.0,247864.61,Control
8381127,8.0,50.0,M,3.0,135540.13,Control
7396309,13.0,31.0,F,3.0,49312.45,Control
1792552,13.0,50.5,M,2.0,51534.08,Test
848570,10.0,34.5,F,3.0,137937.4,Control
